Indices Name,Filename,Methodology,No. of Constituents,Launch Date,Base Date,Base Value,Calculation Frequency,Index Rebalancing,Price Returns QTD,Price Returns YTD,Price Returns 1 year,Price Returns 5 years,Price Returns Since Inception,Total Returns QTD,Total Returns YTD,Total Returns 1 year,Total Returns 5 years,Total Returns Since Inception,Standard Deviation 1 year,Standard Deviation 5 year,Standard Deviation Since Inception,Beta (Nifty 50) 1 year,Beta (Nifty 50) 5 years,Beta (Nifty 50) Since Inception,P/E,P/B,Dividend Yield
Nifty500 Momentum 50,FactsheetNifty500Momentum50.pdf,Tilt Weighted,50,"June 04, 2024","April 01, 2005",1000,Real-Time,Semi - Annually,4.22,-7.88,-7.88,22.69,21.04,4.24,-7.61,-7.61,23.47,22.15,19.68,20.44,22.46,1.33,1.10,0.89,30.02,4.9,0.71
Nifty500 Value 50,FactsheetNifty500Value50.pdf,Tilt Weighted,50,"October 24, 2018","April 01, 2005",1000,Real-Time,Semi-annual,7.46,15.23,15.23,31.76,14.12,7.70,16.93,16.93,34.50,17.03,17.68,20.92,25.78,1.17,1.12,0.98,9.79,1.5,2.8
Nifty200 Quality 30,Factsheet_NIFTY200_Quality30.pdf,Tilt Weighted,31,"April 17, 2018","April 01, 2005",1000,Real-Time,Semi-annual,5.27,2.94,2.94,11.81,15.90,5.55,4.68,4.68,13.73,17.91,12.93,13.24,17.97,0.94,0.79,0.78,33.02,10.55,1.98
Nifty Midcap150 Quality 50,Factsheet_NIFTYMidcap150_Quality50.pdf,Tilt Weighted,50,"October 24, 2019","April 01, 2005",1000,Real-Time,Semi-annual,1.93,-1.47,-1.47,13.03,16.55,2.13,-0.56,-0.56,14.10,18.26,15.98,14.44,17.69,1.06,0.78,0.69,33.78,7.91,1.31
Nifty Alpha Low-Volatility 30,Factsheet_NIFTY_Alpha_Low-Volatility_30.pdf,Factor Weighted,30,"July 10, 2017","April 01, 2005",1000,Real-Time,Semi-annual,4.33,-0.75,-0.75,14.55,17.22,4.46,0.33,0.33,15.83,18.76,11.63,13.15,17.28,0.89,0.80,0.74,32.61,4.79,0.72
Nifty Alpha Quality Low-Volatility 30,Factsheet_NIFTY_Alpha_Quality_Low-Volatility_30.pdf,Factor Weighted,31,"July 10, 2017","April 01, 2005",1000,Real-Time,Semi-annual,3.00,0.60,0.60,13.88,16.26,3.22,2.02,2.02,15.52,17.97,11.57,13.04,16.77,0.82,0.77,0.72,33.61,7.88,1.56
Nifty Alpha Quality Value Low-Volatility 30,Factsheet_NIFTY_Alpha_Quality_Value_Low-Volatility_30.pdf,Factor Weighted,31,"July 03, 2017","April 01, 2005",1000,Real-Time,Semi-annual,4.49,5.27,5.27,19.01,15.91,4.72,6.96,6.96,21.13,18.18,11.89,13.65,17.04,0.90,0.82,0.73,23.77,4.87,1.95
Nifty LargeMidcap 250,Factsheet_NIFTY_LargeMidcap_250_Index.pdf,Periodic Capped Free Float,251,"November 30, 2017","April 01, 2005",1000,Real-Time,Semi-annual,5.70,7.26,7.26,18.43,14.57,5.82,8.19,8.19,19.52,16.02,14.16,14.76,20.10,1.09,0.98,0.91,26.79,3.98,1.05
Nifty Quality Low-Volatility 30,Factsheet_NIFTY_Quality_Low-Volatility_30.pdf,Factor Weighted,31,"July 10, 2017","April 01, 2005",1000,Real-Time,Semi-annual,4.02,4.67,4.67,11.20,14.83,4.20,6.19,6.19,12.86,16.66,10.86,11.99,16.04,0.80,0.71,0.69,28.93,6.42,1.77
Nifty100 Alpha 30,Factsheet_Nifty100_Alpha30.pdf,Tilt Weighted,30,"June 28, 2019","April 01, 2005",1000,Real-Time,Quarterly,0.34,-1.90,-1.90,14.57,14.96,0.35,-1.21,-1.21,15.68,16.34,16.44,19.00,22.09,1.22,1.10,0.94,28.01,5.24,0.78
