Indices,Filename,Automobile and Auto Components,Capital Goods,Chemicals,Construction,Construction Materials,Consumer Durables,Consumer Services,Diversified,Fast Moving Consumer Goods,Financial Services,Forest Materials,Healthcare,Information Technology,"Media, Entertainment & Publication",Metals & Mining,"Oil, Gas & Consumable Fuels",Power,Realty,Services,Telecommunication,Textiles,Utilities
Nifty500 Momentum 50,,22.79,5.21,2.55,,,4.69,1.60,,0.81,42.06,,6.04,,,4.54,,,,4.78,4.94,,
Nifty500 Value 50,,5.02,,2.77,1.03,4.92,,,,,24.95,,1.70,,0.53,19.85,25.19,11.61,,2.42,,,
Nifty200 Quality 30,,7.00,15.30,2.49,,,9.26,2.03,,26.38,3.17,,,25.22,,2.85,3.83,,,,,2.45,
Nifty Midcap150 Quality 50,,9.86,17.70,3.83,,,5.22,1.97,1.27,12.24,14.02,,8.83,14.84,,2.12,4.13,,,,,3.96,
Nifty Alpha Low-Volatility 30,,11.32,,3.18,,7.87,7.08,,,13.50,38.09,,11.54,,,,3.73,,,,3.69,,
Nifty Alpha Quality Low-Volatility 30,,17.06,6.17,3.68,,2.81,3.73,,,29.80,13.28,,14.35,3.23,,,3.21,,,,,2.67,
Nifty Alpha Quality Value Low-Volatility 30,,16.95,3.10,,,,3.51,,,21.10,18.38,,11.55,14.23,,,11.18,,,,,,
Nifty LargeMidcap 250,,7.45,8.32,2.70,2.06,1.77,2.93,3.95,0.18,5.60,30.45,,6.41,7.75,,3.74,6.69,2.65,1.70,1.60,3.61,0.44,
Nifty Quality Low-Volatility 30,,14.96,,5.93,,,6.69,1.70,,29.90,12.53,,10.59,11.70,,,4.14,,,,,1.87,
Nifty100 Alpha 30,,25.04,7.49,1.73,,,3.26,,,2.61,24.97,,2.81,,,7.44,2.55,3.94,,10.22,7.93,,
Nifty200 Alpha 30,,12.51,8.97,4.61,,,,4.81,,,59.48,,5.05,,,,,,,2.57,2.00,,
Nifty200 Momentum 30,,18.53,5.20,1.94,,,4.98,1.99,,,48.29,,3.32,,,5.02,,,,5.80,4.94,,
Nifty200 Value 30,,5.00,,1.24,,4.01,,,,,35.47,,,,,17.31,27.48,9.50,,,,,
Nifty500 Low Volatility 50,,19.03,,1.10,,2.66,6.67,0.74,,10.20,16.05,,11.96,10.23,,,9.33,6.32,,,4.99,0.73,
Nifty500 Multicap Momentum Quality 50,,16.87,13.53,2.38,,,7.40,0.35,,12.19,34.35,,1.82,6.58,,3.08,0.78,,,0.67,,,
Nifty500 Quality 50,,6.26,19.75,2.09,,,3.26,3.64,,12.93,19.69,,3.54,16.73,,3.85,4.94,,,1.04,,2.28,
Nifty500 Flexicap Quality 30,,11.77,10.11,,,,8.39,,,23.57,9.88,,1.67,32.88,,,1.73,,,,,,
Nifty500 Multicap 50:25:25,,7.11,7.82,2.99,2.72,1.72,3.04,3.77,0.15,5.77,29.72,,7.96,7.25,0.30,3.42,6.40,2.73,1.37,2.19,3.08,0.39,
Nifty India Defence,,14.07,75.22,10.71,,,,,,,,,,,,,,,,,,,
Nifty Midcap150 Momentum 50,,7.69,13.90,5.54,,1.49,0.45,2.79,0.41,1.19,44.45,,7.39,4.01,,2.48,2.27,,,2.43,3.51,,
Nifty MidSmallcap400 Momentum Quality 100,,8.80,16.92,2.30,,,2.95,0.44,,5.40,37.32,,7.34,9.01,,3.55,1.10,0.29,,1.74,1.65,1.20,
Nifty Smallcap250 Momentum Quality 100,,7.86,10.34,5.14,2.99,,4.28,1.17,,6.20,28.30,,13.22,5.82,0.20,4.14,2.82,0.78,0.71,5.38,0.28,0.35,
Nifty Smallcap250 Quality 50,,5.21,12.57,6.55,2.59,,3.44,3.78,,6.98,26.29,,9.71,9.87,1.53,1.54,6.60,,,2.19,1.16,,
Nifty Total Market,,7.23,6.24,2.15,2.97,1.93,2.86,3.74,0.09,6.21,30.81,,6.28,7.93,0.17,3.75,7.70,2.99,1.12,1.89,3.50,0.35,
Nifty Total Market Momentum Quality 50,,19.70,17.70,2.80,,,4.99,,0.57,7.93,31.83,,4.04,6.57,,3.08,,,,0.79,,,
Nifty Alpha 50,,6.96,11.02,7.00,,,0.42,2.56,,3.53,53.15,,9.50,,,,,1.32,,3.32,1.21,,
Nifty High Beta 50,,2.20,9.43,,4.29,,4.05,1.98,,,38.84,,2.04,1.94,,10.42,1.62,11.55,6.48,3.37,1.80,,
Nifty Microcap 250,,6.87,19.68,8.30,5.58,1.66,6.77,7.38,,5.13,10.41,,7.73,2.89,1.52,1.15,0.65,2.36,2.15,4.17,0.66,3.23,1.34
Nifty500 Multifactor MQVLv 50,,13.24,1.94,,,1.92,4.03,1.71,,11.24,32.13,,9.81,2.17,,1.89,14.54,,,3.67,,1.72,
Nifty Low Volatility 50,,7.71,,3.94,2.00,6.10,4.26,1.54,,21.25,21.06,,13.55,8.75,,1.94,2.18,1.89,,,2.04,1.78,
Nifty100 Low Volatility 30,,9.41,,3.04,3.20,6.28,6.81,,,15.34,21.64,,16.27,11.26,,,3.49,,,,3.26,,
Nifty100 Quality 30,,14.08,12.06,4.74,,,5.83,,,26.48,,,7.33,22.77,,2.88,3.83,,,,,,
Nifty200 Alpha 30,,12.51,8.97,4.61,,,,4.81,,,59.48,,5.05,,,,,,,2.57,2.00,,
Nifty500 Low Volatility 50,,19.03,,1.10,,2.66,6.67,0.74,,10.20,16.05,,11.96,10.23,,,9.33,6.32,,,4.99,0.73,
Nifty500 Quality 50,,6.26,19.75,2.09,,,3.26,3.64,,12.93,19.69,,3.54,16.73,,3.85,4.94,,,1.04,,2.28,
Nifty50 Value 20,,8.77,,,,,,,,8.53,38.96,,3.57,27.25,,2.82,4.04,6.06,,,,,
Nifty India Defence,,14.07,75.22,10.71,,,,,,,,,,,,,,,,,,,
Nifty MidSmallcap400 Momentum Quality 100,,8.80,16.92,2.30,,,2.95,0.44,,5.40,37.32,,7.34,9.01,,3.55,1.10,0.29,,1.74,1.65,1.20,
Nifty Smallcap250 Momentum Quality 100,,7.86,10.34,5.14,2.99,,4.28,1.17,,6.20,28.30,,13.22,5.82,0.20,4.14,2.82,0.78,0.71,5.38,0.28,0.35,
Nifty Smallcap250 Quality 50,,5.21,12.57,6.55,2.59,,3.44,3.78,,6.98,26.29,,9.71,9.87,1.53,1.54,6.60,,,2.19,1.16,,
Nifty Total Market,,7.23,6.24,2.15,2.97,1.93,2.86,3.74,0.09,6.21,30.81,,6.28,7.93,0.17,3.75,7.70,2.99,1.12,1.89,3.50,0.35,
Nifty Total Market Momentum Quality 50,,19.70,17.70,2.80,,,4.99,,0.57,7.93,31.83,,4.04,6.57,,3.08,,,,0.79,,,
Nifty MidSmallcap 400,,7.15,13.38,5.27,1.65,1.25,3.70,4.37,0.33,4.42,26.01,,10.45,5.70,0.41,2.73,2.95,1.98,2.43,2.49,2.37,0.81,
Nifty Next 50,,8.84,9.65,3.28,,3.00,1.55,7.45,,9.93,20.07,,6.24,2.43,,7.28,7.91,9.19,3.19,,,,
Nifty Next 50,,6.98,1.20,,4.02,2.08,2.45,2.47,,6.44,36.56,,4.15,10.41,,3.73,10.44,2.32,,1.81,4.92,,
Nifty 200,,7.17,4.65,1.25,2.92,1.88,2.59,3.71,,6.46,32.88,,5.06,8.73,,3.97,8.78,3.15,1.06,1.56,4.06,0.13,
Nifty Infrastructure,,2.51,5.95,,13.00,8.60,,1.76,,,,,4.07,,,,28.82,10.05,2.01,5.86,17.37,,
Nifty Midcap 50,,6.78,14.73,5.51,,,2.38,2.03,,4.61,31.55,,7.40,8.31,,1.37,3.39,1.20,5.30,1.78,2.59,1.09,
Nifty Midcap 150,,7.63,14.06,4.87,0.74,1.32,3.56,4.62,0.37,4.19,27.01,,8.33,6.39,,3.17,3.34,1.87,2.88,1.68,3.09,0.87,
Nifty Smallcap 250,,6.24,12.07,6.02,3.39,1.11,3.97,3.90,,4.86,24.10,0.44,14.51,4.40,1.19,1.88,2.18,2.19,1.57,4.06,0.98,0.70,
Nifty Midcap 100,,6.66,13.94,4.49,0.90,0.33,3.85,5.61,,3.99,28.39,,7.62,7.01,,2.47,3.17,1.85,3.50,1.75,3.76,0.72,
Nifty Smallcap 100,,1.81,9.32,8.18,4.88,1.21,4.79,1.46,,2.95,31.27,0.79,13.93,4.55,,1.54,2.80,1.86,2.27,5.74,0.33,0.30,
